2025-05-15 03:01:51,251 | INFO     | peticionamento | main           .main                 | L151  | Sistema de Peticionamento Iniciado.
2025-05-15 03:01:51,252 | DEBUG    | peticionamento | main           .main                 | L152  | Argumentos recebidos: Namespace(template='templates\\modelo_trabalhista.docx', csv='dados\\dados.csv', dados=None, saida='output\\modelo_trabalhista_20250515_030148.docx', debug=True, usar_modelo_relacional=False, primeiro_registro=False)
2025-05-15 03:01:51,252 | INFO     | peticionamento | main           .main                 | L180  | Iniciando processamento do documento...
2025-05-15 03:01:51,253 | INFO     | peticionamento | main           .main                 | L181  | Caminho do Template: C:\Users\Roger\Documents C\13. Guilherme Veiga Adv\02. Automação petições\00. Refazendo do ZERO\01. Cursor AI_refazendo do ZERO\mvp_fase1_entregavel\templates\modelo_trabalhista.docx
2025-05-15 03:01:51,254 | INFO     | peticionamento | logger         .info                 | L142  | Iniciando adaptador do modelo relacional...
2025-05-15 03:01:51,254 | INFO     | peticionamento | logger         .info                 | L142  | Carregando tabelas do modelo relacional...
2025-05-15 03:01:51,256 | ERROR    | peticionamento | logger         .error                | L144  | Erro ao carregar tabela campos_definicao.csv: 'utf-8' codec can't decode byte 0xfa in position 264: invalid start byte
2025-05-15 03:01:51,256 | ERROR    | peticionamento | logger         .error                | L144  | Erro ao carregar tabelas do modelo relacional: 'utf-8' codec can't decode byte 0xfa in position 264: invalid start byte
2025-05-15 03:01:51,256 | ERROR    | peticionamento | logger         .error                | L144  | Erro ao inicializar adaptador do modelo relacional: 'utf-8' codec can't decode byte 0xfa in position 264: invalid start byte
2025-05-15 03:01:51,256 | WARNING  | peticionamento | logger         .warning              | L143  | Fallback para modo legado.
2025-05-15 03:01:51,265 | INFO     | peticionamento | logger         .info                 | L142  | Regras carregadas: 8 regras em 2 categorias
2025-05-15 03:01:51,266 | DEBUG    | peticionamento | logger         .debug                | L141  | Categoria ESTRUTURA_SEMPRE_ATIVA: 3 regras
2025-05-15 03:01:51,266 | DEBUG    | peticionamento | logger         .debug                | L141  | Categoria ESTRUTURA_CONDICIONAL_SIMPLES: 5 regras
2025-05-15 03:01:51,266 | INFO     | peticionamento | main           .main                 | L193  | Utilizando arquivo CSV: C:\Users\Roger\Documents C\13. Guilherme Veiga Adv\02. Automação petições\00. Refazendo do ZERO\01. Cursor AI_refazendo do ZERO\mvp_fase1_entregavel\dados\dados.csv
2025-05-15 03:01:51,268 | ERROR    | peticionamento | logger         .error                | L144  | Erro ao carregar definição de campos: 'utf-8' codec can't decode byte 0xfa in position 264: invalid start byte
2025-05-15 03:01:51,268 | INFO     | peticionamento | logger         .info                 | L142  | Carregando arquivo CSV: dados\dados.csv
2025-05-15 03:01:51,277 | INFO     | peticionamento | logger         .info                 | L142  | Separador detectado pelo Sniffer: ';'
2025-05-15 03:01:51,277 | INFO     | peticionamento | logger         .info                 | L142  | Usando separador ';' para ler o arquivo CSV
2025-05-15 03:01:51,288 | INFO     | peticionamento | logger         .info                 | L142  | Arquivo CSV carregado: 1 registros com 507 colunas
2025-05-15 03:01:51,306 | DEBUG    | peticionamento | logger         .debug                | L141  | Registro 1 processado com sucesso
